subjectID,ID,xPair,expID,plotID,concept,diffLighting,rsquare,darkrgb,dark_colorIndex,darkAssoc,darkL,darkA,darkB,lightrgb,lightcolor_index,lightAssoc,lightL,lightA,lightB,sidePress,seDark,seLeft,meanPropLeft,meanPropDark,darkSideC3,associatedSide,meanAssocDiff,SemDist,darkAssoc_lot,darkAssoc_no,lightAssoc_lot,lightAssoc_no,assocOuter1,assocOuter2,assocInner1,assocInner2
11039,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
13997,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12125,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18032,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
13997,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
16188,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
17955,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12649,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18594,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19882,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
17955,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10923,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
14013,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12416,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12416,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
17807,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18594,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18032,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
13997,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
17807,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
11222,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19557,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12649,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19557,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19557,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10830,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19409,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19882,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10830,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
17807,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10830,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12416,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12416,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
17955,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
14013,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18032,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
13997,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19900,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10923,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10923,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18594,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
17955,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18597,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19557,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
11039,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
14013,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
11222,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
11039,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18594,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12416,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
11039,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19557,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18122,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10830,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19900,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18122,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19882,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
13997,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10923,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19409,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18594,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.076226808,0.84,0.14,-1,1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10830,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18597,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18122,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18597,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
10830,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12649,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
17807,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
18122,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
12416,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19882,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
16188,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
11222,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,1,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
16188,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
16188,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19900,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
19409,31,1019,12,27,water,38,0.87,#897618,56,0.094868421,50,-2.6168,49.931,#a2eade,23,0.691907895,88,-24.966,-1.3084,0,0.0678233,0.070187718,0.12,0.14,1,-1,-0.597039474,0.980513926,0.123666667,0.673,0.807916667,0.237916667,0.123666667,0.237916667,0.807916667,0.673
